date,cases
2020-02-12,1
2020-02-13,2
2020-02-14,2
2020-02-15,2
2020-02-16,2
2020-02-17,2
2020-02-18,2
2020-02-19,2
2020-02-20,2
2020-02-21,4
2020-02-22,4
2020-02-23,4
2020-02-24,10
2020-02-25,10
2020-02-26,10
2020-02-27,10
2020-02-28,11
2020-02-29,11
2020-03-01,11
2020-03-02,11
2020-03-03,11
2020-03-04,12
2020-03-05,16
2020-03-06,19
2020-03-07,19
2020-03-08,23
2020-03-09,24
2020-03-10,31
2020-03-11,33
2020-03-12,41
2020-03-13,58
2020-03-14,69
2020-03-15,80
2020-03-16,87
2020-03-17,106
2020-03-18,166
2020-03-19,248
2020-03-20,386
2020-03-21,547
2020-03-22,639
2020-03-23,728
2020-03-24,857
2020-03-25,1132
2020-03-26,1542
2020-03-27,1971
2020-03-28,2381
2020-03-29,2722
2020-03-30,3065
2020-03-31,3588
2020-04-01,4402
2020-04-02,4952
2020-04-03,5773
2020-04-04,6566
2020-04-05,7117
2020-04-06,8150
2020-04-07,8968
2020-04-08,9897
2020-04-09,11372
2020-04-10,12291
2020-04-11,13208
2020-04-12,13776
2020-04-13,14487
2020-04-14,15303
2020-04-15,16106
2020-04-16,16928
2020-04-17,18131
2020-04-18,18927
2020-04-19,19441
2020-04-20,20035
2020-04-21,20949
2020-04-22,21769
2020-04-23,22706
2020-04-24,23650
2020-04-25,24494
2020-04-26,25209
2020-04-27,25963
2020-04-28,26868
2020-04-29,27839
2020-04-30,29072
2020-05-01,30342
2020-05-02,31433
2020-05-03,32299
2020-05-04,33134
2020-05-05,34286
2020-05-06,35441
2020-05-07,36682
2020-05-08,37943
2020-05-09,38849
2020-05-10,40037
2020-05-11,40988
2020-05-12,42348
2020-05-13,43822
2020-05-14,45169
2020-05-15,46987
2020-05-16,47866
2020-05-17,48828
2020-05-18,49788
2020-05-19,51080
2020-05-20,52369
2020-05-21,53441
2020-05-22,54369
2020-05-23,55451
2020-05-24,56050
2020-05-25,56490
2020-05-26,57573
2020-05-27,59105
2020-05-28,60820
2020-05-29,62073
2020-05-30,63396
2020-05-31,64974
2020-06-01,66081
2020-06-02,67966
2020-06-03,69546
2020-06-04,71330
2020-06-05,73323
2020-06-06,75077
2020-06-07,75948
2020-06-08,77326
2020-06-09,79271
2020-06-10,81771
2020-06-11,83772
2020-06-12,86031
2020-06-13,88120
2020-06-14,89542
2020-06-15,91726
2020-06-16,95973
2020-06-17,99466
2020-06-18,102677
2020-06-19,107322
2020-06-20,111594
2020-06-21,114886
2020-06-22,119646
2020-06-23,124726
2020-06-24,131310
2020-06-25,136783
2020-06-26,142582
2020-06-27,148639
2020-06-28,152866
2020-06-29,158756
2020-06-30,166703
2020-07-01,174826
2020-07-02,182260
2020-07-03,190049
2020-07-04,195707
2020-07-05,200137
2020-07-06,209350
2020-07-07,219164
2020-07-08,229116
2020-07-09,240025
2020-07-10,249948
2020-07-11,258280
2020-07-12,264811
2020-07-13,273732
2020-07-14,284638
2020-07-15,296478
2020-07-16,311516
2020-07-17,321254
2020-07-18,330059
2020-07-19,338036
2020-07-20,345672
2020-07-21,355594
2020-07-22,366561
2020-07-23,376104
2020-07-24,383662
2020-07-25,391609
2020-07-26,395738
2020-07-27,402295
2020-07-28,412849
2020-07-29,421891
2020-07-30,432134
2020-07-31,443090
2020-08-01,448224
2020-08-02,454759
2020-08-03,463541
2020-08-04,473105
2020-08-05,482467
2020-08-06,490102
2020-08-07,498266
2020-08-08,504605
2020-08-09,510392
2020-08-10,517182
2020-08-11,524898
2020-08-12,531825
2020-08-13,538805
2020-08-14,547670
2020-08-15,555343
2020-08-16,563464
2020-08-17,569058
2020-08-18,577220
2020-08-19,582623
2020-08-20,587900
2020-08-21,593405
2020-08-22,599156
2020-08-23,602144
2020-08-24,607621
2020-08-25,613707
2020-08-26,619836
2020-08-27,623647
2020-08-28,628492
2020-08-29,633834
2020-08-30,636547
2020-08-31,640317
2020-09-01,645534
2020-09-02,649844
2020-09-03,653321
2020-09-04,658789
2020-09-05,663246
2020-09-06,665338
2020-09-07,666209
2020-09-08,670427
2020-09-09,675149
2020-09-10,677888
2020-09-11,683295
2020-09-12,685921
2020-09-13,689941
2020-09-14,694547
2020-09-15,701509
2020-09-16,706034
2020-09-17,710423
2020-09-18,713652
2020-09-19,716914
2020-09-20,722460
2020-09-21,744736
2020-09-22,749069
2020-09-23,753551
2020-09-24,758379
2020-09-25,761644
2020-09-26,764642
2020-09-27,770539
2020-09-28,773679
2020-09-29,780543
2020-09-30,784027
2020-10-01,788066
2020-10-02,793962
2020-10-03,799411
2020-10-04,802440
2020-10-05,806535
2020-10-06,811191
2020-10-07,817166
2020-10-08,821732
2020-10-09,826241
2020-10-10,829758
2020-10-11,832750
2020-10-12,836807
2020-10-13,842316
2020-10-14,848168
2020-10-15,853977
2020-10-16,859567
2020-10-17,863993
2020-10-18,869376
2020-10-19,874080
2020-10-20,879949
2020-10-21,886421
2020-10-22,891714
2020-10-23,899390
2020-10-24,906657
2020-10-25,910592
2020-10-26,917240
2020-10-27,924475
2020-10-28,932245
2020-10-29,939355
2020-10-30,946023
2020-10-31,953451
2020-11-01,957789
2020-11-02,965780
2020-11-03,974292
2020-11-04,984919
2020-11-05,993894
2020-11-06,1003908
2020-11-07,1009837
2020-11-08,1016772
2020-11-09,1026570
2020-11-10,1038214
2020-11-11,1051071
2020-11-12,1060798
2020-11-13,1073382
2020-11-14,1083132
2020-11-15,1090500
2020-11-16,1101781
2020-11-17,1112676
2020-11-18,1125898
2020-11-19,1139676
2020-11-20,1153363
2020-11-21,1164267
2020-11-22,1172761
2020-11-23,1183834
2020-11-24,1204366
2020-11-25,1219283
2020-11-26,1223893
2020-11-27,1228514
2020-11-28,1234740
2020-11-29,1246883
2020-11-30,1261943
2020-12-01,1275295
2020-12-02,1293839
2020-12-03,1311751
2020-12-04,1325855
